SPAC11D3.13	SPBC1271.02	SPCC1281.05	
SPAC11D3.14c	SPBC1271.03c	SPCC1281.06c	
SPAC11D3.15	SPBC1271.04c	SPCC1281.07c	
SPAC11D3.16c	SPBC1271.05c	SPCC1281.08	
SPAC11D3.17	SPBC1271.06c	SPCC132.01c	
SPAC11D3.18c	SPBC1271.07c	SPCC132.02	
SPAC11D3.19	SPBC1271.08c	SPCC132.03	
SPAC11D3.20	SPBC1271.09	SPCC132.04c	
SPAC11E3.01c	SPBC1271.10c	SPCC132.05c	
SPAC11E3.02c	SPBC1271.11	SPCC1322.01	
SPAC11E3.03	SPBC1271.12	SPCC1322.02	
SPAC11E3.04c	SPBC1271.13	SPCC1322.03	
SPAC11E3.05	SPBC1271.14	SPCC1322.04	
SPAC11E3.06	SPBC1271.15c	SPCC1322.05c	
SPAC11E3.07	SPBC1289.01c	SPCC1322.06	
SPAC11E3.08c	SPBC1289.02c	SPCC1322.07c	
SPAC11E3.09	SPBC1289.03c	SPCC1322.08	
SPAC11E3.10	SPBC1289.04c	SPCC1322.09	
SPAC11E3.11c	SPBC1289.05c	SPCC1322.10	
SPAC11E3.12	SPBC1289.06c	SPCC1322.11	
SPAC11E3.13c	SPBC1289.07c	SPCC1322.12c	
SPAC11E3.14	SPBC1289.08	SPCC1322.13	
SPAC11E3.15	SPBC1289.09	SPCC1322.14c	
SPAC11G7.01	SPBC1289.10c	SPCC1322.15	
SPAC11G7.02	SPBC1289.11	SPCC1322.16	
SPAC11G7.03	SPBC1289.12	SPCC1393.02c	
SPAC11G7.04	SPBC1289.13c	SPCC1393.03	
SPAC11G7.05c	SPBC1289.14	SPCC1393.04	
SPAC11G7.06c	SPBC1289.15	SPCC1393.05	
SPAC11H11.01	SPBC1289.16c	SPCC1393.06c	
SPAC11H11.02c	SPBC1289.17	SPCC1393.07c	
SPAC11H11.03c	SPBC12C2.01c	SPCC1393.08	
SPAC11H11.04	SPBC12C2.02c	SPCC1393.09c	
SPAC11H11.05c	SPBC12C2.03c	SPCC1393.10	
SPAC11H11.06	SPBC12C2.04	SPCC1393.11	
SPAC1250.01	SPBC12C2.05c	SPCC1393.12	
SPAC1250.02	SPBC12C2.06	SPCC1393.13	
SPAC1250.03	SPBC12C2.07c	SPCC1393.14	
SPAC1250.04c	SPBC12C2.08	SPCC13B11.01	
SPAC1250.05	SPBC12C2.09c	SPCC13B11.02c	
SPAC1250.07	SPBC12C2.10c	SPCC13B11.03c	
SPAC1296.01c	SPBC12C2.11	SPCC13B11.04c	
SPAC1296.02	SPBC12C2.12c	SPCC1442.01	
SPAC1296.03c	SPBC12C2.13c	SPCC1442.02	
SPAC1296.04	SPBC12C2.14c	SPCC1442.03	
SPAC1296.05c	SPBC12D12.01	SPCC1442.04c	
SPAC1296.06	SPBC12D12.02c	SPCC1442.05c	
SPAC12B10.01c	SPBC12D12.03	SPCC1442.06	
SPAC12B10.02c	SPBC12D12.04c	SPCC1442.07c	
SPAC12B10.03	SPBC12D12.05c	SPCC1442.08c	
SPAC12B10.04	SPBC12D12.06	SPCC1442.09	
SPAC12B10.05	SPBC12D12.07c	SPCC1442.10c	
SPAC12B10.06c	SPBC12D12.08c	SPCC1442.11c	
SPAC12B10.07	SPBC12D12.09	SPCC1442.12	
SPAC12B10.08c	SPBC1306.01c	SPCC1442.13c	
SPAC12B10.09	SPBC1306.02	SPCC1442.14c	
SPAC12B10.10	SPBC1347.01c	SPCC1442.15c	
SPAC12B10.11	SPBC1347.02	SPCC1442.16c	
SPAC12B10.12c	SPBC1347.03	SPCC1442.17c	
SPAC12B10.13	SPBC1347.04	SPCC1442.19	
SPAC12B10.14c	SPBC1347.05c	SPCC1450.01c	
SPAC12B10.15c	SPBC1347.06c	SPCC1450.02	
SPAC12B10.16c	SPBC1347.07	SPCC1450.03	
SPAC12G12.01c	SPBC1347.08c	SPCC1450.04	
SPAC12G12.02	SPBC1347.09	SPCC1450.05c	
SPAC12G12.03	SPBC1347.10	SPCC1450.06c	
SPAC12G12.04	SPBC1347.11	SPCC1450.07c	
SPAC12G12.05c	SPBC1347.12	SPCC1450.08c	
SPAC12G12.06c	SPBC1347.13c	SPCC1450.09c	
SPAC12G12.07c	SPBC1347.14c	SPCC1450.10c	
SPAC12G12.08	SPBC1348.01	SPCC1450.11c	
SPAC12G12.09	SPBC1348.02	SPCC1450.12	
SPAC12G12.10	SPBC1348.03	SPCC1450.13c	
SPAC12G12.11c	SPBC1348.04	SPCC1450.14c	
SPAC12G12.12	SPBC1348.05	SPCC1450.15	
SPAC12G12.13c	SPBC1348.06c	SPCC1450.16c	
SPAC12G12.14c	SPBC1348.07	SPCC1494.01	
SPAC12G12.15	SPBC1348.08c	SPCC1494.02c	
SPAC12G12.16c	SPBC1348.09	SPCC1494.03	
SPAC12G12.17	SPBC1348.10c	SPCC1494.04c	
SPAC1327.01c	SPBC1348.11	SPCC1494.05c	
SPAC139.01c	SPBC1348.12	SPCC1494.06c	
SPAC139.02c	SPBC1348.14c	SPCC1494.07	
SPAC139.03	SPBC1348.15	SPCC1494.08c	
SPAC139.04c	SPBC13A2.01c	SPCC1494.09c	
SPAC139.05	SPBC13A2.02	SPCC1494.10	
SPAC139.06	SPBC13A2.03	SPCC1494.11c	
SPAC1399.01c	SPBC13A2.04c	SPCC14G10.01	
SPAC1399.02	SPBC13E7.01	SPCC14G10.02	
SPAC1399.03	SPBC13E7.02	SPCC14G10.03c	
SPAC1399.04c	SPBC13E7.03c	SPCC14G10.04	
SPAC1399.05c	SPBC13E7.04	SPCC1529.01	
SPAC1399.06	SPBC13E7.05	SPCC162.01c	
SPAC13A11.01c	SPBC13E7.06	SPCC162.02c	
SPAC13A11.02c	SPBC13E7.07	SPCC162.03	
SPAC13A11.03	SPBC13E7.08c	SPCC162.04c	
SPAC13A11.04c	SPBC13E7.09	SPCC162.05	
SPAC13A11.05	SPBC13E7.10c	SPCC162.06c	
SPAC13A11.06	SPBC13E7.11	SPCC162.07	
SPAC13C5.01c	SPBC13G1.01c	SPCC162.08c	
SPAC13C5.02	SPBC13G1.02	SPCC162.09c	
SPAC13C5.03	SPBC13G1.03c	SPCC162.10	
SPAC13C5.04	SPBC13G1.04c	SPCC162.11c	
SPAC13C5.05c	SPBC13G1.05	SPCC162.12	
SPAC13C5.06c	SPBC13G1.06c	SPCC1620.01c	
SPAC13C5.07	SPBC13G1.07	SPCC1620.02	
SPAC13D1.01c	SPBC13G1.08c	SPCC1620.03	
SPAC13D6.01	SPBC13G1.09	SPCC1620.04c	
SPAC13D6.02c	SPBC13G1.10c	SPCC1620.05	
SPAC13D6.03c	SPBC13G1.11	SPCC1620.06c	
SPAC13D6.04c	SPBC13G1.12	SPCC1620.07c	
SPAC13D6.05	SPBC13G1.13	SPCC1620.08	
SPAC13F5.01c	SPBC13G1.14c	SPCC1620.09c	
SPAC13F5.02c	SPBC13G1.15c	SPCC1620.10	
SPAC13F5.03c	SPBC13G1.16	SPCC1620.11	
SPAC13F5.04c	SPBC146.01	SPCC1620.12c	
SPAC13F5.05	SPBC146.02	SPCC1620.13	
SPAC13F5.06c	SPBC146.03c	SPCC1620.14c	
SPAC13F5.07c	SPBC146.04	SPCC1672.01	
SPAC13G6.01c	SPBC146.05c	SPCC1672.02c	
SPAC13G6.02c	SPBC146.06c	SPCC1672.03c	
SPAC13G6.03	SPBC146.07	SPCC1672.04c	
SPAC13G6.04	SPBC146.08c	SPCC1672.05c	
SPAC13G6.05c	SPBC146.09c	SPCC1672.06c	
SPAC13G6.06c	SPBC146.10	SPCC1672.07	
SPAC13G6.07c	SPBC146.11c	SPCC1672.08c	
SPAC13G6.08	SPBC146.12	SPCC1672.09	
SPAC13G6.09	SPBC146.13c	SPCC1672.10	
SPAC13G6.10c	SPBC146.14c	SPCC1672.11c	
SPAC13G6.11c	SPBC14C8.01c	SPCC1672.12c	
SPAC13G6.12c	SPBC14C8.02	SPCC1682.01	
SPAC13G6.13	SPBC14C8.03	SPCC1682.02c	
SPAC13G6.14	SPBC14C8.04	SPCC1682.03c	
SPAC13G6.15c	SPBC14C8.05c	SPCC1682.04	
SPAC13G7.01c	SPBC14C8.06	SPCC1682.05c	
SPAC13G7.02c	SPBC14C8.07c	SPCC1682.06	
SPAC13G7.03	SPBC14C8.09c	SPCC1682.07	
SPAC13G7.04c	SPBC14C8.10	SPCC1682.08c	
SPAC13G7.05	SPBC14C8.11c	SPCC1682.09c	
SPAC13G7.06	SPBC14C8.12	SPCC1682.10	
SPAC13G7.07	SPBC14C8.13	SPCC1682.11c	
SPAC13G7.08c	SPBC14C8.14c	SPCC1682.12c	
SPAC13G7.09c	SPBC14C8.15	SPCC1682.13	
SPAC13G7.10	SPBC14C8.16c	SPCC1682.14	
SPAC13G7.11	SPBC14C8.17c	SPCC1682.15	
SPAC13G7.12c	SPBC14C8.19	SPCC1682.16	
SPAC13G7.13c	SPBC14F5.01	SPCC16A11.01	
SPAC140.01	SPBC14F5.02	SPCC16A11.02	
SPAC140.02	SPBC14F5.03c	SPCC16A11.03c	
SPAC140.03	SPBC14F5.04c	SPCC16A11.04	
SPAC140.04	SPBC14F5.05c	SPCC16A11.05c	
SPAC1420.01c	SPBC14F5.06	SPCC16A11.06c	
SPAC1420.02c	SPBC14F5.07	SPCC16A11.07	
SPAC1420.03	SPBC14F5.08	SPCC16A11.08	
SPAC1420.04c	SPBC14F5.09c	SPCC16A11.09c	
SPAC144.01	SPBC14F5.10c	SPCC16A11.10c	
SPAC144.02	SPBC14F5.11c	SPCC16A11.11	
SPAC144.03	SPBC14F5.12c	SPCC16A11.12c	
SPAC144.04c	SPBC14F5.13c	SPCC16A11.13	
SPAC144.05	SPBC1539.01c	SPCC16A11.14	
SPAC144.06	SPBC1539.02	SPCC16A11.15c	
SPAC144.07c	SPBC1539.03c	SPCC16A11.16c	
SPAC144.08	SPBC1539.04	SPCC16A11.17	
SPAC144.09c	SPBC1539.05	SPCC16C4.01	
SPAC144.10c	SPBC1539.06	SPCC16C4.02c	
SPAC144.11	SPBC1539.07c	SPCC16C4.03	
SPAC144.12	SPBC1539.08	SPCC16C4.04	
SPAC144.13c	SPBC1539.09c	SPCC16C4.05	
SPAC144.14	SPBC1539.10	SPCC16C4.06c	
SPAC144.15c	SPBC15C4.01c	SPCC16C4.07	
SPAC144.16	SPBC15C4.02	SPCC16C4.08c	
SPAC144.17c	SPBC15C4.03	SPCC16C4.09	
SPAC144.18	SPBC15C4.04c	SPCC16C4.10	
SPAC144.19	SPBC15C4.05	SPCC16C4.11	
SPAC1486.01	SPBC15C4.06c	SPCC16C4.12	
SPAC1486.02c	SPBC15D4.01c	SPCC16C4.13c	
SPAC1486.03c	SPBC15D4.02	SPCC16C4.14c	
SPAC1486.04c	SPBC15D4.03	SPCC16C4.15	
SPAC1486.05	SPBC15D4.04	SPCC16C4.16c	
SPAC1486.06	SPBC15D4.05	SPCC16C4.17	
SPAC1486.07c	SPBC15D4.06	SPCC16C4.18c	
SPAC1486.08	SPBC15D4.07c	SPCC16C4.19	
SPAC1486.09	SPBC15D4.08c	SPCC16C4.20c	
SPAC1486.10	SPBC15D4.09c	SPCC16C4.21	
SPAC1486.11	SPBC15D4.10c	SPCC16C4.22	
SPAC14C4.01c	SPBC15D4.11c	SPCC1739.01	
SPAC14C4.02c	SPBC15D4.12c	SPCC1739.02c	
SPAC14C4.03	SPBC15D4.13c	SPCC1739.03	
SPAC14C4.04	SPBC15D4.14	SPCC1739.04c	
SPAC14C4.05c	SPBC15D4.15	SPCC1739.05	
SPAC14C4.06c	SPBC1604.01	SPCC1739.06c	
SPAC14C4.07	SPBC1604.02c	SPCC1739.07	
SPAC14C4.08	SPBC1604.03c	SPCC1739.08c	
SPAC14C4.09	SPBC1604.04	SPCC1739.09c	
SPAC14C4.10c	SPBC1604.05	SPCC1739.10	
SPAC14C4.11	SPBC1604.06c	SPCC1739.11c	
SPAC14C4.12c	SPBC1604.07	SPCC1739.12	
SPAC14C4.13	SPBC1604.08c	SPCC1739.13	
SPAC14C4.14	SPBC1604.09c	SPCC1739.14	
SPAC14C4.15c	SPBC1604.10	SPCC1739.15	
SPAC14C4.16	SPBC1604.11	SPCC1742.01	
SPAC1527.01	SPBC1604.12	SPCC1753.01c	
SPAC1527.02	SPBC1604.13c	SPCC1753.02c	
SPAC1527.03	SPBC1604.14c	SPCC1753.03c	
SPAC1556.01c	SPBC1604.15	SPCC1753.04	
